Model Name,Param Name,File Size(Bytes),Comp Ratio(BDI1B),Comp Ratio(BDI2B),Comp Ratio(BDIZV)
GoogLeNet_Imagenet_output,ConvReLU2d_25_output1,40140,1.3124984668220283,1.06969490983246,2.5311162097594417
GoogLeNet_Imagenet_output,ConvReLU2d_25_output2,40140,1.2958101235165895,1.0613767109700452,2.4681053902159604
GoogLeNet_Imagenet_output,ConvReLU2d_26_output0,40140,1.289579291145952,1.0501000955159823,2.51534953692821
GoogLeNet_Imagenet_output,ConvReLU2d_26_output1,40140,1.2687090960827085,1.0428951984926251,2.3546877521381298
GoogLeNet_Imagenet_output,ConvReLU2d_26_output2,40140,1.2921954812766416,1.0469493979675695,2.337525030036042
GoogLeNet_Imagenet_output,ConvReLU2d_27_output0,80281,1.1757635024145299,0.9945597620670424,1.709584138801463
GoogLeNet_Imagenet_output,ConvReLU2d_27_output1,80281,1.1853361616810574,0.9985194401244166,1.7345148044089038
GoogLeNet_Imagenet_output,ConvReLU2d_27_output2,80281,1.1995672912544628,1.0014474669328672,1.7402881831882293
GoogLeNet_Imagenet_output,ConvReLU2d_28_output0,80281,1.3702022497807196,1.0059537985234577,2.6368232351648704
GoogLeNet_Imagenet_output,ConvReLU2d_28_output1,80281,1.3856652638394298,1.0100557534263814,2.6462565687789787
GoogLeNet_Imagenet_output,ConvReLU2d_28_output2,80281,1.398404370013656,1.0135380885027276,2.624460431654675
GoogLeNet_Imagenet_output,ConvReLU2d_29_output0,160563,1.3032670584294979,1.0223303568016509,2.804058155836328
GoogLeNet_Imagenet_output,ConvReLU2d_29_output1,160563,1.3054372887972574,1.0235559693402543,2.7876406470142556
GoogLeNet_Imagenet_output,ConvReLU2d_29_output2,160563,1.318100352904223,1.0244248013530333,2.809991793861808
GoogLeNet_Imagenet_output,ConvReLU2d_2_output0,1926758,1.2579963464161603,1.0242683749856132,1.9523563917804694
GoogLeNet_Imagenet_output,ConvReLU2d_2_output1,1926758,1.2909528375273622,1.0275513923691488,1.9118567476793538
GoogLeNet_Imagenet_output,ConvReLU2d_2_output2,1926758,1.3009335571642346,1.0426033264799395,2.0284658169104093
GoogLeNet_Imagenet_output,ConvReLU2d_30_output0,15052,1.2660598726784855,1.0233729119178028,1.9776462853385897
GoogLeNet_Imagenet_output,ConvReLU2d_30_output1,15052,1.2454197288065405,1.0177634917949576,1.8901002230670114
GoogLeNet_Imagenet_output,ConvReLU2d_30_output2,15052,1.2668997178115642,1.0245580571545343,1.9102657733464548
GoogLeNet_Imagenet_output,ConvReLU2d_31_output0,40140,1.5195467261186288,1.0978182066890085,3.3291575061185514
GoogLeNet_Imagenet_output,ConvReLU2d_31_output1,40140,1.491525423728813,1.0958993896194333,3.337082506055153
GoogLeNet_Imagenet_output,ConvReLU2d_31_output2,40140,1.544884936332399,1.124049356433563,3.3078888797296147
GoogLeNet_Imagenet_output,ConvReLU2d_32_output0,40140,1.2769755841428192,1.0348535840006186,2.4520435988114953
GoogLeNet_Imagenet_output,ConvReLU2d_32_output1,40140,1.281471546273232,1.0509251378213098,2.3072842922341597
GoogLeNet_Imagenet_output,ConvReLU2d_32_output2,40140,1.2948223079994672,1.0440348115674307,2.296654003820315
GoogLeNet_Imagenet_output,ConvReLU2d_33_output0,70246,1.224063532467985,0.9953710595524174,1.993101588337993
GoogLeNet_Imagenet_output,ConvReLU2d_33_output1,70246,1.2313331564882062,0.9966993419978561,1.995020121975043
GoogLeNet_Imagenet_output,ConvReLU2d_33_output2,70246,1.228618115239822,0.9985137777777776,1.9801862911698542
GoogLeNet_Imagenet_output,ConvReLU2d_34_output0,90316,1.2491259617878445,1.0016471540837772,2.5028477986724122
GoogLeNet_Imagenet_output,ConvReLU2d_34_output1,90316,1.2438417581055323,1.003885297567103,2.4937675831477923
GoogLeNet_Imagenet_output,ConvReLU2d_34_output2,90316,1.2414179444307927,1.0068963210329427,2.4757864146210222
GoogLeNet_Imagenet_output,ConvReLU2d_35_output0,180633,1.3586444248020613,1.0572505678226052,3.32457587534313
GoogLeNet_Imagenet_output,ConvReLU2d_35_output1,180633,1.3696795501340422,1.0747597369752149,3.3486699082679365
GoogLeNet_Imagenet_output,ConvReLU2d_35_output2,180633,1.346361499941295,1.0501564117175053,3.2540662765923893
GoogLeNet_Imagenet_output,ConvReLU2d_36_output0,20070,1.1944783995706738,0.9922480620155033,1.8307857518221469
GoogLeNet_Imagenet_output,ConvReLU2d_36_output1,20070,1.2029515309377783,0.9992268362638728,1.849292621569847
GoogLeNet_Imagenet_output,ConvReLU2d_36_output2,20070,1.1967262082561674,0.9968896961855228,1.847139778005738
GoogLeNet_Imagenet_output,ConvReLU2d_37_output0,40140,1.2457565950313159,1.0305481721175695,2.536856745479831
GoogLeNet_Imagenet_output,ConvReLU2d_37_output1,40140,1.2596141395830631,1.0421909696521092,2.5789203084832883
GoogLeNet_Imagenet_output,ConvReLU2d_37_output2,40140,1.2627355651794243,1.0438175504311518,2.5376990087113227
GoogLeNet_Imagenet_output,ConvReLU2d_38_output0,40140,1.3071116214301415,1.0843793490156863,2.4530366476143883
GoogLeNet_Imagenet_output,ConvReLU2d_38_output1,40140,1.2792196148282742,1.0556527458072997,2.335518322626642
GoogLeNet_Imagenet_output,ConvReLU2d_38_output2,40140,1.2760162650099565,1.0551808464481518,2.342129646518074
GoogLeNet_Imagenet_output,ConvReLU2d_39_output0,160563,1.454382358437675,1.2517312371326967,4.561198610430296
GoogLeNet_Imagenet_output,ConvReLU2d_39_output1,160563,1.535920999278745,1.3364083692041262,4.637734758740247
GoogLeNet_Imagenet_output,ConvReLU2d_39_output2,160563,1.482305435983391,1.2555498193082084,4.545553018637496
GoogLeNet_Imagenet_output,ConvReLU2d_3_output0,160563,1.2213468622577819,1.0034759558878692,1.5221820104339907
GoogLeNet_Imagenet_output,ConvReLU2d_3_output1,160563,1.2479685582084241,1.001260058636392,1.5342528603790897
GoogLeNet_Imagenet_output,ConvReLU2d_3_output2,160563,1.2532632183033021,1.010297338805106,1.5252049786380366
GoogLeNet_Imagenet_output,ConvReLU2d_40_output0,100352,1.2471780595489244,1.00765137061954,2.878993591605612
GoogLeNet_Imagenet_output,ConvReLU2d_40_output1,100352,1.2636264474829495,1.0183471342750445,2.898148081296703
GoogLeNet_Imagenet_output,ConvReLU2d_40_output2,100352,1.246690001521838,1.0157907522876344,2.858878621156276
GoogLeNet_Imagenet_output,ConvReLU2d_41_output0,200704,1.8099581788053338,1.5045615718494418,5.148352053560261
GoogLeNet_Imagenet_output,ConvReLU2d_41_output1,200704,1.9207181256384918,1.6271758076938665,5.3231663854179425
GoogLeNet_Imagenet_output,ConvReLU2d_41_output2,200704,1.7792533180263268,1.476731096084938,5.1365430755942265
GoogLeNet_Imagenet_output,ConvReLU2d_42_output0,20070,1.3405159433867557,1.0009243760461684,1.6571121313645183
GoogLeNet_Imagenet_output,ConvReLU2d_42_output1,20070,1.3265346665783713,0.9977337815963138,1.6893770885822397
GoogLeNet_Imagenet_output,ConvReLU2d_42_output2,20070,1.2967794141446825,0.9922480620155033,1.600559300873906
GoogLeNet_Imagenet_output,ConvReLU2d_43_output0,80281,1.61771797875959,1.300366181664992,4.099007246145495
GoogLeNet_Imagenet_output,ConvReLU2d_43_output1,80281,1.666388955937429,1.386425276832449,4.066142709672514
GoogLeNet_Imagenet_output,ConvReLU2d_43_output2,80281,1.61259842519685,1.3330232867156093,4.0991904384912
GoogLeNet_Imagenet_output,ConvReLU2d_44_output0,80281,1.578871265215787,1.265428400239664,3.61757944557133
GoogLeNet_Imagenet_output,ConvReLU2d_44_output1,80281,1.635370261410439,1.331166030850887,3.6748304381421155
GoogLeNet_Imagenet_output,ConvReLU2d_44_output2,80281,1.5484057677420284,1.234100135317997,3.5804595137184902
GoogLeNet_Imagenet_output,ConvReLU2d_45_output0,40140,1.3341478923285992,1.0503749656445087,3.920903816793888
GoogLeNet_Imagenet_output,ConvReLU2d_45_output1,40140,1.3597814346527728,1.0718091854859169,3.9876776309251665
